authors,title,description,copies,publisher,pages,isbn10,kind,image,durataprestito,condizioniestensione
Dewey Lambdin,A Onshore Stormn,"""Three mismatched troop transports, lots of 29-foot barges, and an under-strength regiment of foot-- a waste of Royal Navy money, a doomed experiment, or a new way to bedevil Napoleon's army in Italy? Either way, it's Capt. Sir Alan Lewrie's idea, and it seems to be working, with successful raids all along the coast of Calabria. But it depends on timely information, and Lewrie must trust Don Julio Caesare, a lord of a Sicilian criminal underworld, and his minions, or the amateur efforts of a disorganized network of Calabrian partisans always in need of British arms and King George III's money. When at last the fourth transport arrives with reinforcement troops, what seems to be a blessing could turn out to be the ruin of the whole thing. Lewrie has been too successful in his career at sea and he's made bitter, jealous enemies with powerful patrons out to crush him and his novel squadron, no matter if it's succeeding. And there are doings back in England that Lewrie would prefer to deal with but can't""--",5,Alan Lewrie Naval Adventures,352,1250103649,comico,/copertina libri/AnOnshoreStorm.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Theresa Sanders,Approaching Eden,"You don't have to be religious for the story of Adam and Eve to have touched your life. From Voldemort's snake mascot in Harry Potter novels to the ""forbidden fruit"" apple that puts Snow White to sleep in fairy tales, we are inundated with references to the Garden of Eden in popular culture from an early age. On a deeper level, the story has been used as justification for conflicting viewpoints on issues ranging from nudity to marriage to slavery. Approaching Eden digs much deeper than merely cataloguing entertaining Adam and Eve references in popular culture by exploring how these references are used and how they shape society. Theresa Sanders provides essential historical background from Christian, Jewish, and Muslim perspectives to show the relevance and prominence of Adam and Eve's story in life today.",5,"Rowman & Littlefield Publishers, Incorporated",264,7425653332,comico,/copertina libri/ApproachingEden.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Joseph Kesselring,Arsenic and Old Lace,An easy going drama critic discovers that his kind and gentle aunts have a bizarre habit of poisoning gentlemen callers and burying them in the cellar.,5,Dramatists Play Service Inc,96,8222030651,comico,/copertina libri/ArsenicAndOldLace.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Lois Wille,At Home in the Loop,"Lois Wille’s illustrated account provides behind-the-scenes insight into how a small number of Chicago business leaders transformed the dangerous and seedy South Loop into an integrated and thriving community in the heart of the central city. The obstacles to the evolution of Dearborn Park were quite formidable, including a succession of six mayors, huge economic impediments, policy disputes engendered among people used to making their own corporate decisions, the wretched reputation of the South Loop, problems with the Chicago public school system, and public mistrust of a project supported by the wealthy, no matter how altruistic the goal. It took twenty years and millions of dollars, but it will pay off and in fact is paying off right now. With Dearborn Park, Chicago left a formula that other cities can use to turn fallow land into vibrant neighborhoods—without big government subsidies. As Wille explains, the realization of this vision requires shared investment and shared risk on the part of local businesses, financial institutions, and government. It links private and public influence and capital. Wille explains how these elements worked together to build a neighborhood in a blighted tract of Chicago’s Loop. She also describes how key decisions affecting the public interest were made during a time of profound change in the city’s political life: Dearborn Park was conceived during the final years of the most powerful political machine in America and had to adapt as that machine crumbled and city government was reshaped",5,SIU Press,233,8093221250,comico,/copertina libri/AtHomeInTheLoop.jpg,30,È possibile estendere il prestito per altri 30 giorni.
John Kenneth Muir,Best in Show,"(Applause Books). Best in Show is the first in-depth look at the method behind film director and actor Christopher Guest's madness and genius. John Kenneth Muir focuses his attention on the acclaimed Guest-directed trilogy of what some call ""mockumentaries"": Waiting for Guffman , Best in Show and A Mighty Wind . In these films Guest has escorted rapt audiences into the purportedly real worlds of a small-town theatrical company, dog show competition, and folk music festival. Muir also details the events that lead to Rob Reiner's influential and legendary This Is Spinal Tap , which Rolling Stone called the best rock and roll movie of all time, and in which Guest played the part of guitarist Nigel Tufnel. Much of Best in Show exemplifies the unique process by which Guest directs films. He employs a common repertory company, improvises scenes often without any rehearsal, and does not use any screenplay with dialogue, instead following a detailed outline often co-authored with his ace actor/writer Eugene Levy. Company members that have been interviewed for this book include Fred Willard, Harry Shearer, Bob Balaban and Michael Hitchcock. Guest's influences Saturday Night Live , National Lampoon as well as his more conventional comedies, such as The Big Picture and Almost Heroes , are studied. Best in Show is general enough to bring new fans to the table, yet detailed enough to satisfy the most in-the-know Guest fan and film student. A complete filmography with Guest's directing, acting and writing credits is included, as is the appendix, ""You Know You're in a Christopher Guest Film When ..."" Guest once commented, ""I am drawn to people who have dreams that are slightly out of reach."" Now, thanks to John Kenneth Muir, the fascinating world of Christopher Guest and company is substantially more within reach.",5,Hal Leonard Corporation,244,1557836094,comico,/copertina libri/BestInShow.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Dacia Maraini,Dolce per sé,"""Cara Flavia..."" Per sette anni Vera, una donna matura, una ""drammaturga giramondo"", scrive alla sua giovanissima amica, una bambina che all'inizio della corrispondenza ha solo sei anni. In queste lettere Vera ripercorre con la memoria la storia del suo amore per un giovane violinista: Edoardo, lo zio di Flavia. Ai ricordi amorosi di Vera ed Edoardo si intrecciano le evocazioni dei concerti, i viaggi, le ""mitologie familiari"": un romanzo musicale non solo nei temi ma ancor più nell'estensione armonica della memoria.",5,Bur,200,8858626015,comico,/copertina libri/DolcePerSe.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Paolo Zagari,"Io, Woody e Allen","Un Woody Allen inedito, frizzante, spregiudicato, completamente inventato è il soggetto di questo volume. Una lunga intervista precede la riflessione dell'autore su cinque film epocali della carriera del regista newyorchese: Io e Annie, Zelig, Hanna e le sue sorelle, Broadway Danny Rose, Ombre e nebbia. Dalla celebre sequenza delle aragoste alle malinconie di Bernardo Soares, dalla danza del camaleonte alle considerazioni estetiche di Kant, dagli ipocondriaci ai misantropi, Zagari approfitta degli spunti forniti da questi film per trascendere anche lo specifico cinematografico.",5,EDIZIONI DEDALO,143,8822050274,comico,/copertina libri/IoWoodyEAllen.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Jason Bailey,Pulp Fiction,"""Film expert Jason Bailey explores Quentin Tarantino's PULP FICTION in a comprehensive book illustrated throughout with original art inspired by the film and including sidebars and special features on everything from casting close calls to deleted scenes. Bailey discusses how the film was revolutionary, examines its director's influences, illuminates its pop culture references, and describes its phenomenal legacy""--",5,Voyageur Press (MN),200,4760344795,comico,/copertina libri/PulpFiction.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Raymond Chandler,The Big Sleep,"The Big Sleep is Raymond Chandler's most famous and popular novel of all Los Angeles PI Philip Marlowe is working for the Sternwood family. Old man Sternwood, crippled and wheelchair-bound, is being given the squeeze by a blackmailer and he wants Marlowe to make the problem go away. But with Sternwood's two wild, devil-may-care daughters prowling LA's seedy backstreets, Marlowe's got his work cut out - and that's before he stumbles over the first corpse . . . 'Anything Chandler writes about grips the mind from the first sentence' Daily Telegraph 'One of the greatest crime writers, who set standards others still try to attain' Sunday Times 'Chandler is an original stylist, creator of a character as immortal as Sherlock Holmes' Anthony Burgess Best-known as the creator of the original private eye, Philip Marlowe, Raymond Chandler was born in Chicago in 1888 and died in 1959. Many of his books have been adapted for the screen, and he is widely regarded as one of the very greatest writers of detective fiction. His books include The Big Sleep, The Little Sister, Farewell, My Lovely, The Long Good-bye, The Lady in the Lake, Playback, Killer in the Rain, The High Window and Trouble is My Business.",5,Penguin UK,272,1419111159,comico,/copertina libri/TheBigSleep.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Nick Hornby,Alta fedeltà,"I VENT’ANNI DI UN LIBRO MEMORABILE 600.000 COPIE VENDUTE IN ITALIA «Nessuno è brillante e coinvolgente come Nick Hornby nel ritrarre i sentimenti e i problemi di ognuno.» Bookseller «Lo scrittore migliore della sua generazione.» The Sunday Times «Hornby è uno scrittore che sa essere al tempo stesso brillante, arguto ed emotivamente generoso.» The New York Times «Il miracolo di Hornby sta nel descrivere un ’mondo piccolo’ con il distacco dell’ironia vera e con compassione profonda.» Michele Serra «I libri di Nick Hornby ci guardano dritti negli occhi e ci dicono la verità su vite che, a essere sinceri, non sono molto diverse dalle nostre... Hornby scommette tutto sull’autenticità.» The Observer Review Si può dividere l’esistenza con qualcuno che ha una collezione di dischi incompatibile con la propria? Si possono avere dei gusti terribili e allo stesso tempo essere una persona degna di essere frequentata? Le canzoni tristi rischiano o no di mettervi sottosopra la vita, se le ascoltate a ripetizione? In una Londra irrequieta e vibrante, le avventure, gli amori, la passione per la musica, i sogni e le disillusioni di una generazione di trentenni piena di voglia di vivere. Commovente, scanzonato, amaro ma anche molto divertente, Alta fedeltà è il libro culto della narrativa inglese, pubblicato nel 1995 e diventato un grande successo internazionale. «Spassoso, vero e profondo.» Roddy Doyle «Nick Hornby, che si è conquistato il titolo di portavoce di una generazione, sa scrivere in modo sincero e deliziosamente autoironico tanto da rendere impossibile non riconoscersi almeno in parte nei suoi personaggi.» Livia Manera «Una voce davvero autentica.» The Guardian «Hornby mi piace perché è uno di quegli scrittori vicini alla gente normale. Sembra sempre che parli a te. È uno che ha la capacità di sparare nel mucchio e insieme di colpire bersagli precisi, dunque di passarti emozioni precise... La sua bravura è che è uno scrittore profondo e ironico...» Giuseppe Cederna, la Repubblica",5,Guanda,257,8860882591,romantico,/copertina libri/Altafedeltà.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Lucio Apuleio,Amore e Psiche,"La favola di Amore e Psiche scritta da Lucio Apuleio all’interno delle Metamorfosi, è una vera e autentica fiaba, dove esistono atmosfere magiche e incantate come nella tradizione popolare. Un racconto da tutto il mondo conosciuto, di cui sono state date le più disparate interpretazioni, ma che affascina i lettori da quasi duemila anni. Del suo autore Apuleio, nato nel 125 d.C. nell’odierna Algeria, sappiamo che veniva da una famiglia molto ricca, si formò a Cartagine, studio filosofia ad Atene. Ritornato in Africa dove svolse attività di avvocato, conobbe Pudentilla, madre di un suo compagno di studi che sposò. Fu accusato di magia e stregoneria dalla quale si difese con una famosa orazione dal nome Apologia o De magia. Trascorse gli ultimi anni della sua vita a Cartagine morendo presumibilmente nel 170 d.C. La favola di Amore e Psiche è una novella compresa nell’opera maggiore di Apuleio, L’asino d’oro.",5,Leonardo Paolo Lovari,80,8898301915,romantico,/copertina libri/AmoreePsiche.jpg,30,È possibile estendere il prestito per altri 30 giorni.
V.V. Ganeshananthan,Amori e foglie di tè,"Nella regione di Jaffna, in Sri Lanka, dove la terra profuma di tè e di pioggia, la regola vuole che ogni famiglia nasca da un matrimonio combinato. Ma per Yalini, giovane srilankese nata negli Stati Uniti, quello che conta è il matrimonio d’amore. Come quello dei suoi genitori, che si sono conosciuti e amati a New York. Sua cugina Janani, invece, è figlia di Kumran, militante nelle Tigri per la liberazione del Tamil Ealam, e crede fermamente nella tradizione. Quando le cugine si conoscono, il loro è l’incontro di due mondi lontani, divisi non solo dalla storia recente dello Sri Lanka, con la guerra civile fra la maggioranza singalese e la minoranza tamil, ma soprattutto da un segreto che segna il passato delle loro famiglie.",5,Garzanti,325,8811131537,romantico,/copertina libri/Amoriefoglieditè.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Leo Tolstoy,Anna Karenina,A tumultuous tale of passion and self-discovery in 1870s Russia chronicles a society woman's adulterous affair and a landowner's unconventional quest for a meaningful existence.,5,Courier Corporation,752,4861148422,romantico,/copertina libri/AnnaKarenina.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Danielle Steel,Appuntamento al buio,"Da un divorzio tumultuoso a una serie di appuntamenti al buio organizzati da amici, riuscirà Paris a trovare un nuovo uomo da amare?",5,SPERLING & KUPFER,456,8873392741,romantico,/copertina libri/Appuntamentoalbuio.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Barbara Taylor Bradford,A Sudden Change of Heart,"From master storyteller Barbara Taylor Bradford comes a magnificent new novel, a powerful, moving story of two women, two families, and an extraordinary friendship challenged by tragedy and a devastating secret from the past.... Some secrets are too terrible to share--even with your best friend.... Nothing hurts like the truth. A truth that has haunted Claire Benson all her life. A truth that Claire has revealed to no one, not even to her best friend, International art dealer Laura Valiant. But the friendship that has sheltered both women throughout childhood, marriage and divorce is about to meet its greatest test. Suddenly old nightmares surface as Claire turns to her dearest friend for help. And as Laura's career leads her into the past, in an investigation of artwork stolen by the Nazis, she uncovers disturbing links to the present, to Claire, and a profoundly personal reason to follow a twisted trail to its surprising end.... From the Paperback edition.",5,Dell,400,3074911447,romantico,/copertina libri/ASuddenChangeOfHeart.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Amos Oz,A Tale of Love and Darkness,"Winner of the National Jewish Book Award International Bestseller ""[An] ingenious work that circles around the rise of a state, the tragic destiny of a mother, a boy’s creation of a new self."" — The New Yorker A family saga and a magical self-portrait of a writer who witnessed the birth of a nation and lived through its turbulent history. A Tale of Love and Darkness is the story of a boy who grows up in war-torn Jerusalem, in a small apartment crowded with books in twelve languages and relatives speaking nearly as many. The story of an adolescent whose life has been changed forever by his mother’s suicide. The story of a man who leaves the constraints of his family and community to join a kibbutz, change his name, marry, have children. The story of a writer who becomes an active participant in the political life of his nation. ""One of the most enchanting and deeply satisfying books that I have read in many years."" — New Republic",5,Houghton Mifflin Harcourt,544,5477545525,romantico,/copertina libri/ATaleOfLoveAndDarkness.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Osho,Being in Love,"What Is Love? In this thoughtful, provocative work, Osho—one of the most revolutionary thinkers of our time—challenges us to question what we think we know about love and opens us to the possibility of a love that is natural, fulfilling, and free of possessiveness and jealousy. With his characteristic wit, humor, and understanding, Osho dares us to resist the unhealthy relationship patterns we’ve learned from those around us, and to rediscover the meaning of love for ourselves. “By the time you are ready to explore the world of love, you are filled with so much rubbish about love that there is not much hope for you to be able to find the authentic and discard the false.” By answering the questions that so many lovers face, Osho shares new ways to love that will forever change how you relate to others, including how to: • Love without clinging • Let go of expectations, rules, and demands • Free yourself from the fear of being alone • Be fully present in your relationships • Keep your love fresh and alive • Become a life partner with whom someone could continue to grow and change • Surrender your ego so you can surrender to love Being in Love will inspire you to welcome love into your life anew and experience the joy of being truly alive by sharing it. From the Hardcover edition.",5,Harmony,256,3074094880,romantico,/copertina libri/BeingInLove.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Truman Capote,Breakfast at Tiffany's,"In this seductive, wistful masterpiece, Truman Capote created a woman whose name has entered the American idiom and whose style is a part of the literary landscape. Holly Golightly knows that nothing bad can ever happen to you at Tiffany's; her poignancy, wit, and naïveté continue to charm. This volume also includes three of Capote's best-known stories, “House of Flowers,” “A Diamond Guitar,” and “A Christmas Memory,” which the Saturday Review called “one of the most moving stories in our language.” It is a tale of two innocents—a small boy and the old woman who is his best friend—whose sweetness contains a hard, sharp kernel of truth.",5,Vintage,192,3458063051,romantico,/copertina libri/BreakfastAtTiffany.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Stephenie Meyer,Breaking Down,"When you loved the one who was killing you, it left you no options. How could you run, how could you fight, when doing so would hurt that beloved one? If your life was all you had to give, how could you not give it? If it was someone you truly loved? To be irrevocably in love with a vampire is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewolf Jacob Black, a tumultuous year of temptation, loss, and strife have led her to the ultimate turning point. Her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs. Now that Bella has made her decision, a startling chain of unprecedented events is about to unfold with potentially devastating, and unfathomable, consequences. Just when the frayed strands of Bella's life-first discovered in Twilight, then scattered and torn in New Moon and Eclipse-seem ready to heal and knit together, could they be destroyed... forever? The astonishing, breathlessly anticipated conclusion to the Twilight Saga, Breaking Dawn illuminates the secrets and mysteries of this spellbinding romantic epic that has entranced millions.",5,"Little, Brown Books for Young Readers",768,3160232832,romantico,/copertina libri/BreakingDown.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Guillaume Musso,Chi ama torna sempre indietro,"Elliott Cooper, sessantenne chirurgo di San Francisco, è impegnato presso una missione umanitaria in Cambogia. Al momento della partenza, si attarda per operare un bambino con una malformazione al viso. Il capo del villaggio, nel ringraziarlo per aver restituito il sorriso al piccolo, gli domanda: ""Qual è il suo più grande desiderio?"". Senza esitare, spinto da un inestinguibile rimpianto, il medico risponde: ""Vorrei rivedere una donna"". Quella donna è I lena, i l suo unico amore mai dimenticato, morta in un tragico incidente trent'anni prima: un dolore immenso, che né il tempo né la presenza dell'adorata figlia Angie hanno saputo lenire. Il vecchio cambogiano gli consegna allora un flaconcino di vetro, contenente dieci pillole dorate, con le quali Elliott avrà l'occasione di rivivere il suo passato, e forse di cambiarlo per sempre. Guillaume Musso mescola amore, suspense e magia in una storia intensa che parla direttamente al cuore.",5,Bur,320,8858620070,romantico,/copertina libri/Chiamatornasempreindietro.jpg,30,È possibile estendere il prestito per altri 30 giorni.
